,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
59,-117848275#1,1645258788,277637274,4,highway.residential,"8936.87,1980.23 8964.55,1975.00 8991.81,1970.17 9021.64,1966.86 9031.43,1966.20",110.67,13.89,-117848275#1_0,1,3,3,3
60,-117848280,1643958081,277829479,4,highway.residential,"9145.39,1518.03 9053.31,1509.59 8997.43,1502.44",167.28,13.89,-117848280_0,1,3,3,3
61,-117848282#1,1643958069,1643958060,4,highway.residential,"8990.35,1119.09 8992.08,1099.07 8993.73,1086.24 8998.49,1015.45 9001.31,983.36 9004.51,943.47",180.53,8.33,-117848282#1_0,1,3,3,3
62,-117848283,267860506,1643958173,4,highway.residential,"9313.64,1979.02 9318.82,2017.11",46.10,8.33,-117848283_0,1,3,3,3
63,-117848287#1,366739019,366739017,4,highway.residential,"9025.17,1607.31 9019.16,1627.92 9007.75,1677.03 9005.44,1698.98 9045.05,1699.45",151.59,8.33,-117848287#1_0,1,3,3,3
64,-117848287#2,446101718,366739019,4,highway.residential,"9041.38,1551.36 9029.19,1593.47",51.26,8.33,-117848287#2_0,1,3,3,3
65,-117864241#0,366730679,268019557,4,highway.residential,"9447.74,1800.38 9499.03,1798.55 9509.00,1797.90 9512.78,1797.58",79.83,8.33,-117864241#0_0,1,3,3,3
66,-117864241#3,600122036,366730679,4,highway.residential,"9401.60,1803.85 9409.37,1803.05 9419.58,1801.81 9430.61,1801.20 9433.23,1801.05",45.89,8.33,-117864241#3_0,1,3,3,3
67,-117864241#4,270721337,600122036,4,highway.residential,"9313.92,1814.92 9328.63,1812.70 9374.04,1806.88 9387.30,1805.40",88.13,8.33,-117864241#4_0,1,3,3,3
68,-117864241#5,cluster_1643958126_1643958128_1643958138,270721337,4,highway.residential,"9242.75,1829.02 9264.24,1824.75 9299.48,1817.50",77.72,8.33,-117864241#5_0,1,3,3,3
69,-117871434#0,443338737,442967933,4,highway.residential,"7714.69,1715.23 7721.16,1715.82 7798.07,1724.30",98.56,13.89,-117871434#0_0,1,3,3,3
70,-119031307#1,1618231125,688504790,4,highway.residential,"10752.92,9339.38 10737.14,9328.94 10729.28,9323.50 10708.44,9305.57",65.31,8.33,-119031307#1_0,1,7,7,7
71,-120785042,54765787,298445505,6,highway.tertiary,"11767.47,9429.89 11778.60,9459.74 11824.43,9559.87 11843.93,9592.49 11869.91,9625.42 11933.85,9687.60 11985.39,9728.83",393.53,13.89,-120785042_0,1,7,7,7
72,-120788902#5,1336006959,286577390,4,highway.residential,"9092.89,5029.02 9083.04,5025.79 9064.91,5020.70 9042.61,5013.81 9005.15,5004.32 8949.66,4987.48 8932.28,5020.87 8915.73,5056.82",246.51,13.89,-120788902#5_0,1,9,9,9
73,-121991373#0,1364158292,1364158289,3,highway.living_street,"7358.31,6829.80 7368.23,6813.70 7368.03,6813.53",37.33,2.78,-121991373#0_0,1,9,9,9
74,-121991373#1,1364158301,1364158292,3,highway.living_street,"7433.05,6875.65 7424.63,6887.33 7401.50,6873.20 7404.11,6868.80 7360.52,6843.20",101.54,2.78,-121991373#1_0,1,9,9,9
75,-122514058,1368812600,1368812602,4,highway.residential,"3500.36,9994.25 3498.05,10004.89 3474.11,10038.40",58.93,13.89,-122514058_0,1,0,0,0
76,-122871405#0,1364158292,1371671915,3,highway.living_street,"7352.74,6845.11 7341.66,6863.55",28.68,2.78,-122871405#0_0,1,9,9,9
77,-122871405#1,1364158289,1364158292,3,highway.living_street,"7361.27,6815.46 7351.78,6830.53",35.79,2.78,-122871405#1_0,1,9,9,9
78,-122871405#2,437163161,1364158289,3,highway.living_street,"7369.90,6801.37 7368.82,6803.17",8.87,2.78,-122871405#2_0,1,9,9,9
79,-124760629#1,54765784,cluster_1387525941_160075_300844714,7,highway.secondary,"11316.88,9878.70 11010.66,10281.85 10963.58,10341.93",610.60,19.44,-124760629#1_0,2,7,7,7
80,-125664765,282661418,436515069,5,highway.unclassified,"4211.54,6163.36 4272.66,6168.93",71.38,13.89,-125664765_0,1,1,1,1
81,-126251744,270562815,324247699,3,highway.living_street,"4144.59,9890.05 4161.93,9919.95 4192.51,9967.63 4217.95,10002.17 4246.91,10051.87 4253.84,10067.73 4255.71,10078.66 4255.55,10081.10",237.33,2.78,-126251744_0,1,0,0,0
82,-126752801#2,754168874,618683961,5,highway.unclassified,"5189.42,2570.84 5192.46,2565.83 5210.76,2540.60 5226.65,2523.18 5239.60,2509.49 5257.76,2492.14 5270.72,2473.61 5270.11,2453.16 5266.55,2432.60 5261.71,2425.21 5247.87,2404.06 5160.32,2329.69 5084.87,2253.08 5073.30,2231.69 5069.85,2225.30 5065.62,2183.75 5070.62,2166.11",523.13,8.33,-126752801#2_0,1,11,11,11
83,-127717434,1412973638,1412973642,4,highway.residential,"4662.84,8577.19 4709.12,8628.97",76.66,13.89,-127717434_0,1,1,1,1
84,-127717542,1741950427,1412974151,4,highway.residential,"4595.97,8633.85 4581.78,8623.70 4570.63,8616.13 4563.98,8602.85",51.91,13.89,-127717542_0,1,1,1,1
