,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
1485,-30840440,343014554,1695149168,4,highway.residential,"10162.58,7347.86 10172.62,7345.12 10182.79,7306.07 10204.36,7208.65 10203.81,7157.67 10228.28,7050.27",323.48,13.89,-30840440_0,1,7,7,7
1486,-30840600#0,431476209,339669412,4,highway.residential,"8593.61,7327.09 8601.52,7329.82",21.00,13.89,-30840600#0_0,1,6,6,6
1487,-30840600#2,287232422,431476209,4,highway.residential,"8545.83,7302.12 8558.45,7314.16 8581.75,7322.84",48.92,13.89,-30840600#2_0,1,6,6,6
1488,-30840648#0,343021429,931625622,4,highway.residential,"8718.10,7333.35 8698.62,7371.45 8821.41,7430.06 8823.78,7439.25 8821.70,7449.41 8824.77,7456.90",223.21,8.33,-30840648#0_0,1,6,6,6
1489,-30840648#1,929063270,343021429,4,highway.residential,"8739.03,7323.76 8737.11,7323.67 8731.21,7326.37",19.87,8.33,-30840648#1_0,1,6,6,6
1490,-30840648#2,343021429,929063270,4,highway.residential,"8730.46,7333.18 8737.66,7338.64 8742.85,7338.64 8746.53,7334.84 8746.50,7331.37 8740.14,7324.29",48.15,8.33,-30840648#2_0,1,6,6,6
1491,-30841042,339668610,287232456,4,highway.residential,"7934.79,7183.78 8055.61,7248.64 8087.75,7267.35",188.01,8.33,-30841042_0,1,9,9,9
1492,-30841169,339668644,343034344,4,highway.residential,"8147.12,7224.45 8170.18,7234.93 8248.00,7260.60",118.24,13.89,-30841169_0,1,9,9,9
1493,-30841213#0,343036253,765861513,4,highway.residential,"8020.06,7482.93 8018.66,7493.74 8025.60,7506.64",34.20,8.33,-30841213#0_0,1,9,9,9
1494,-30841213#1,276007856,343036253,4,highway.residential,"8019.20,7375.94 8016.81,7380.85 8013.13,7396.21 8014.89,7416.26 8019.02,7433.60 8021.44,7454.22 8021.18,7468.04",107.31,8.33,-30841213#1_0,1,9,9,9
1495,-30841253,343037140,343037139,4,highway.residential,"8300.60,7234.85 8288.84,7278.29",52.36,13.89,-30841253_0,1,9,9,9
1496,-30841264,343037478,343037477,4,highway.residential,"8339.17,7243.51 8325.35,7287.55",53.65,13.89,-30841264_0,1,9,9,9
1497,-30841266,343037559,343037558,4,highway.residential,"8396.32,7260.66 8377.93,7310.22",60.31,13.89,-30841266_0,1,9,9,9
1498,-30858128,273994823,343227119,6,highway.tertiary,"3596.29,1458.49 3611.34,1425.53 3634.42,1389.88 3676.14,1328.73",156.91,13.89,-30858128_0,1,11,11,11
1499,-30858385,450323646,273994798,5,highway.unclassified,"3727.11,1061.58 3677.87,1111.21 3600.23,1185.60 3517.20,1261.46 3467.97,1307.65 3445.97,1327.44 3425.70,1337.60 3401.98,1344.94 3374.57,1349.02 3368.44,1351.53 3349.99,1367.43",500.31,13.89,-30858385_0,1,11,11,11
1500,-30858865#2,286742735,286742283,7,highway.secondary,"2748.91,2597.59 2734.84,2629.27 2699.16,2699.69 2662.76,2760.22 2622.02,2817.72 2546.78,2923.38 2505.10,2981.81 2432.36,3083.78 2390.20,3133.04 2360.79,3163.24",687.00,19.44,-30858865#2_0,2,11,11,11
1501,-30858956#1,273994798,420179173,6,highway.tertiary,"3348.03,1375.95 3360.13,1398.09 3368.36,1413.42 3378.80,1426.43 3385.30,1431.60 3387.63,1432.52",84.72,13.89,-30858956#1_0,1,11,11,11
1502,-30859131#1,919776696,420179299,4,highway.residential,"2845.93,1485.24 2801.06,1476.87 2790.92,1469.79 2771.60,1466.76 2759.99,1471.81 2711.57,1464.09 2705.46,1457.12 2685.12,1453.41 2678.69,1454.93 2678.20,1455.46",191.83,8.33,-30859131#1_0,1,11,11,11
1503,-30859131#2,420179282,919776696,4,highway.residential,"2892.48,1455.03 2891.91,1455.42 2889.55,1463.82 2861.12,1480.20 2859.39,1482.05",57.44,8.33,-30859131#2_0,1,11,11,11
1504,-30859131#3,420179303,420179282,4,highway.residential,"2944.33,1432.54 2938.69,1437.48 2918.43,1448.10 2906.82,1447.41 2903.83,1448.73",56.99,8.33,-30859131#3_0,1,11,11,11
1505,-30859131#4,420179285,420179303,4,highway.residential,"2954.34,1345.53 2952.70,1361.84 2956.76,1372.18 2949.97,1420.83",91.03,8.33,-30859131#4_0,1,11,11,11
1506,-30859131#7,343242560,420179285,4,highway.residential,"3122.84,1283.26 3120.17,1283.03 3083.30,1279.95 3064.43,1275.99 3050.61,1269.70 3005.63,1246.38 2995.89,1252.41 2987.83,1272.42 2967.01,1310.83 2962.71,1328.09 2958.16,1334.37",240.44,8.33,-30859131#7_0,1,11,11,11
1507,-30889532#0,344226180,1203324310,4,highway.residential,"5643.66,9595.28 5650.72,9612.03",24.54,13.89,-30889532#0_0,1,0,0,0
1508,-30889532#11,339139025,344226180,4,highway.residential,"5324.33,9278.42 5351.72,9304.58 5370.36,9320.57 5397.29,9343.67 5401.26,9347.06 5419.18,9361.63 5442.41,9382.22 5449.08,9388.37 5477.72,9413.09 5495.18,9428.17 5506.39,9437.85 5568.98,9497.67 5583.90,9512.73 5605.56,9532.56 5618.91,9549.51 5637.27,9582.39",453.39,13.89,-30889532#11_0,1,0,0,0
1509,-30933302,279637874,294919992,7,highway.secondary,"7591.63,3154.23 7585.62,3157.71 7575.88,3163.11 7524.24,3189.34 7513.60,3195.11",94.32,16.67,-30933302_0,2,4,4,4
1510,-30938122,2156306311,339715849,7,highway.secondary,"7358.38,8084.63 7358.35,8084.83",11.94,13.89,-30938122_0,2,8,8,8
1511,-30956967,344222727,256547994,4,highway.residential,"6458.56,10292.40 6503.51,10205.47",112.03,13.89,-30956967_0,1,8,8,8
1512,-30956978#1,cluster_344222632_931710793,344222699,4,highway.residential,"6311.61,10220.31 6311.88,10218.88 6331.43,10174.76 6349.14,10145.24 6356.03,10129.64 6359.73,10120.50",126.19,13.89,-30956978#1_0,1,8,8,8
1513,-30956983#0,344222634,cluster_344222632_931710793,4,highway.residential,"6369.85,10258.51 6321.25,10233.51 6316.62,10230.71 6314.04,10229.00 6313.61,10228.49",76.86,13.89,-30956983#0_0,1,8,8,8
1514,-30957193,344226180,344226172,4,highway.residential,"5644.71,9583.76 5648.74,9580.39 5662.20,9567.40 5672.70,9556.92 5679.42,9548.61 5680.90,9543.09 5680.66,9534.62 5667.87,9506.92 5662.28,9491.60",120.34,13.89,-30957193_0,1,0,0,0
1515,-30960213#0,1740616442,344268058,4,highway.residential,"6353.90,7855.51 6372.48,7860.93 6399.77,7868.79",62.02,13.89,-30960213#0_0,1,8,8,8
1516,-30960213#3,1740616446,1740616442,4,highway.residential,"6195.69,7924.99 6229.30,7930.14 6240.32,7932.25 6257.66,7936.84 6265.70,7932.50 6300.05,7882.60 6312.21,7871.95 6332.35,7858.89 6339.70,7856.89",195.60,13.89,-30960213#3_0,1,8,8,8
1517,-30960225#1,344268076,1740616446,4,highway.residential,"5995.05,7931.35 5995.53,7930.98 6009.77,7925.42 6028.53,7919.86 6047.37,7912.99 6066.32,7910.48 6088.22,7911.16 6108.83,7912.01 6131.99,7915.24 6140.40,7916.53 6181.33,7922.79",204.85,13.89,-30960225#1_0,1,8,8,8
1518,-30960422#0,343034463,339140968,4,highway.residential,"8224.20,7337.30 8238.98,7345.48 8270.57,7363.12 8289.87,7377.15 8309.32,7395.79 8315.65,7405.38",127.71,13.89,-30960422#0_0,1,9,9,9
1519,-30960422#1,287232451,343034463,4,highway.residential,"8191.72,7319.82 8211.90,7331.28 8214.56,7332.48",37.32,13.89,-30960422#1_0,1,9,9,9
1520,-30960422#2,287232456,287232451,4,highway.residential,"8100.82,7274.32 8182.20,7314.74",104.31,13.89,-30960422#2_0,1,9,9,9
1521,-30960532,276006602,344273371,4,highway.residential,"7553.91,6921.41 7623.62,6858.89 7673.92,6813.72",176.70,13.89,-30960532_0,1,9,9,9
1522,-30962589#1,344295517,344295510,4,highway.residential,"9374.91,7469.55 9381.65,7508.57 9391.18,7567.42 9398.54,7634.75 9403.71,7688.82 9404.51,7695.94 9413.55,7737.82 9430.21,7831.87",381.63,13.89,-30962589#1_0,1,7,7,7
1523,-30962589#2,1322785502,344295517,4,highway.residential,"9364.93,7411.62 9372.46,7455.35",52.71,13.89,-30962589#2_0,1,7,7,7
1524,-30962596#1,344295597,344295595,4,highway.residential,"9533.30,7738.41 9536.03,7767.23 9534.78,7800.99 9534.26,7836.63",112.44,13.89,-30962596#1_0,1,7,7,7
1525,-30962596#2,344295600,344295597,4,highway.residential,"9505.85,7614.91 9511.44,7632.50 9519.18,7670.31 9531.12,7724.60",127.46,13.89,-30962596#2_0,1,7,7,7
1526,-30962596#3,344295520,344295600,4,highway.residential,"9484.57,7459.67 9486.59,7522.60 9492.85,7573.42 9501.48,7601.03",158.46,13.89,-30962596#3_0,1,7,7,7
1527,-30962596#4,1322785339,344295520,4,highway.residential,"9491.49,7410.89 9485.65,7420.98 9483.65,7431.33 9484.05,7443.74",43.13,13.89,-30962596#4_0,1,7,7,7
1528,-30962599#0,344295683,344295658,4,highway.residential,"9596.71,7593.29 9612.36,7587.21 9614.55,7585.53",26.96,13.89,-30962599#0_0,1,7,7,7
1529,-30962599#1,344295600,344295683,4,highway.residential,"9509.68,7605.44 9527.62,7603.68 9563.73,7597.82 9586.23,7596.05",89.57,13.89,-30962599#1_0,1,7,7,7
1530,-30962610,344295713,344295709,4,highway.residential,"9652.13,7697.08 9696.63,7676.10 9753.59,7654.01",125.71,13.89,-30962610_0,1,7,7,7
1531,-30962616#0,344295713,344295529,4,highway.residential,"9650.60,7707.77 9663.92,7745.70 9667.01,7773.11 9685.21,7770.94 9814.87,7743.49",237.49,13.89,-30962616#0_0,1,7,7,7
1532,-30962616#1,1322785316,344295713,4,highway.residential,"9618.20,7658.27 9620.83,7662.00 9643.37,7695.34",61.16,13.89,-30962616#1_0,1,7,7,7
1533,-30962616#2,344295683,1322785316,4,highway.residential,"9594.10,7604.15 9596.77,7617.11 9602.80,7632.38 9610.06,7645.64",58.21,13.89,-30962616#2_0,1,7,7,7
1534,-30962621#0,1618859207,344295910,4,highway.residential,"9957.24,7718.15 9980.09,7714.62 9986.58,7710.76",37.98,13.89,-30962621#0_0,1,7,7,7
1535,-30962621#1,344295529,1618859207,4,highway.residential,"9831.51,7741.16 9855.94,7739.56 9918.01,7725.93 9943.09,7720.74",129.51,13.89,-30962621#1_0,1,7,7,7
1536,-30962626,344295527,344296030,4,highway.residential,"9785.76,7669.75 9857.72,7643.19 9863.78,7638.52",102.16,13.89,-30962626_0,1,7,7,7
1537,-31014883,321355344,cluster_321355343_402971273,6,highway.tertiary,"8772.89,6072.40 8762.35,6088.68 8747.58,6120.61 8734.06,6136.70",91.00,13.89,-31014883_0,1,9,9,9
1538,-31014885#0,395712065,344869796,6,highway.tertiary,"9422.82,5415.72 9394.56,5413.94 9382.76,5414.12",51.15,13.89,-31014885#0_0,1,9,9,9
1539,-31014885#1,412302142,395712065,6,highway.tertiary,"9524.40,5459.97 9520.33,5456.82 9507.32,5448.29 9490.37,5439.58 9454.90,5425.61 9432.45,5417.80",115.43,13.89,-31014885#1_0,1,9,9,9
1540,-31014885#2,395484817,412302142,6,highway.tertiary,"9559.58,5490.90 9557.52,5489.28 9535.55,5469.30",47.13,13.89,-31014885#2_0,1,9,9,9
1541,-31014887,344869796,395484858,6,highway.tertiary,"9367.61,5415.32 9350.87,5417.35 9340.78,5418.20 9334.60,5418.99",55.14,13.89,-31014887_0,1,9,9,9
1542,-31014888,cluster_1151978447_1555695116_343001018,344869811,6,highway.tertiary,"9326.44,6429.70 9139.24,6248.30 9059.04,6190.70 9021.10,6172.44",424.53,13.89,-31014888_0,1,9,9,9
1543,-31014991#0,1745910304,cluster_286575888_395509839,4,highway.residential,"8745.21,4814.48 8777.30,4827.66",48.61,8.33,-31014991#0_0,1,9,9,9
1544,-31014991#1,395566956,1745910304,4,highway.residential,"8695.83,4787.54 8717.06,4802.75 8726.09,4806.52",59.44,8.33,-31014991#1_0,1,9,9,9
1545,-31015237#1,903654279,cluster_36132572_507460655_903654277,9,highway.primary,"7443.41,3246.50 7440.16,3239.49 7439.63,3238.46",35.68,19.44,-31015237#1_0,2,4,4,4
1546,-31015239,279637919,279637921,3,highway.living_street,"7374.22,2945.76 7372.73,2946.06 7361.41,2949.13 7350.31,2953.23 7341.55,2954.77 7332.46,2952.18 7314.05,2937.65",77.02,2.78,-31015239_0,1,4,4,4
1547,-31015607#2,443341244,277640378,4,highway.residential,"7974.76,1734.18 7981.39,1734.42 8009.18,1734.18 8073.83,1727.33 8134.77,1720.13 8153.22,1720.58 8169.83,1723.61 8211.48,1737.05 8249.63,1752.36",294.16,13.89,-31015607#2_0,1,3,3,3
1548,-31015607#4,442967933,443341244,4,highway.residential,"7812.36,1725.93 7847.42,1730.03 7902.94,1733.92 7911.87,1734.24 7960.42,1733.97",163.07,13.89,-31015607#4_0,1,3,3,3
1549,-31255852#1,287674114,347515288,4,highway.residential,"9558.80,3526.23 9466.87,3602.86 9465.51,3604.08",133.78,13.89,-31255852#1_0,1,4,4,4
1550,-31255852#2,332791222,287674114,4,highway.residential,"9595.47,3493.87 9569.95,3516.59",43.74,13.89,-31255852#2_0,1,4,4,4
1551,-31685186#0,354623583,354623579,4,highway.residential,"4446.15,10129.90 4451.27,10134.91 4455.81,10134.69 4456.61,10130.52 4453.26,10125.18 4449.54,10122.24",44.37,13.89,-31685186#0_0,1,0,0,0
1552,-31685186#1,354623579,354623583,4,highway.residential,"4444.93,10126.07 4445.72,10129.16",14.43,13.89,-31685186#1_0,1,0,0,0
1553,-31685186#4,270571505,354623579,4,highway.residential,"4401.78,10051.12 4416.85,10087.73 4423.91,10098.96 4438.21,10111.92",85.54,13.89,-31685186#4_0,1,0,0,0
1554,-31686265#3,270571514,270571509,4,highway.residential,"4387.90,9805.40 4398.54,9830.56 4412.42,9865.03 4419.13,9883.24 4422.11,9898.79 4425.05,9940.50 4427.10,9970.22",186.63,13.89,-31686265#3_0,1,0,0,0
1555,-31730534,340159771,355010501,4,highway.residential,"11948.92,5553.86 11993.59,5738.53",197.32,8.33,-31730534_0,1,10,10,10
1556,-31730553,355010989,355010792,4,highway.residential,"11885.98,5596.22 11906.91,5693.67 11905.16,5703.23 11893.46,5718.40",134.23,13.89,-31730553_0,1,10,10,10
1557,-31730591#3,355011428,355011380,4,highway.residential,"11802.15,5460.77 11798.27,5455.66 11794.34,5447.83 11792.08,5439.02 11787.41,5404.37 11785.38,5392.40 11776.44,5344.08",128.25,13.89,-31730591#3_0,1,10,10,10
1558,-31730593,355011515,355011429,3,highway.living_street,"12054.80,5446.94 12017.13,5455.05 11978.39,5462.33 11934.06,5465.49",137.19,2.78,-31730593_0,1,10,10,10
1559,-31730595#0,355011515,355011518,3,highway.living_street,"12064.76,5450.43 12081.89,5523.45",89.77,2.78,-31730595#0_0,1,10,10,10
1560,-31730595#1,355011525,355011515,3,highway.living_street,"12057.89,5421.54 12061.44,5436.39",22.55,2.78,-31730595#1_0,1,10,10,10
1561,-31730611#1,355011833,355011660,3,highway.living_street,"11894.73,5016.67 11897.37,5018.35 11946.27,5054.96 12028.73,5117.59",177.82,2.78,-31730611#1_0,1,10,10,10
1562,-31730621,355012044,303198534,4,highway.residential,"11799.60,5210.17 11795.90,5221.04 11793.99,5229.53 11792.88,5241.10 11793.22,5244.45 11794.40,5246.27 11832.81,5278.01 11840.13,5285.38",107.12,13.89,-31730621_0,1,10,10,10
1563,-31730629#1,355012118,355012058,3,highway.living_street,"11904.05,5108.86 11896.31,5122.60 11877.61,5164.49 11914.71,5184.51 11931.15,5202.06",143.98,2.78,-31730629#1_0,1,10,10,10
1564,-31730629#2,355012124,355012118,3,highway.living_street,"11976.32,5160.73 11960.14,5142.89 11915.05,5108.35 11910.88,5106.74",98.05,2.78,-31730629#2_0,1,10,10,10
1565,-31730649#0,355012351,355012248,4,highway.residential,"11619.59,5231.31 11701.32,5237.13",96.71,8.33,-31730649#0_0,1,10,10,10
1566,-31730649#1,cluster_2663131828_355012353,355012351,4,highway.residential,"11416.12,5229.88 11605.30,5230.76",211.38,8.33,-31730649#1_0,1,10,10,10
1567,-31730674#1,389146858,355012412,4,highway.residential,"11638.19,4980.58 11638.88,4974.40 11644.83,4915.04",78.91,13.89,-31730674#1_0,1,10,10,10
1568,-31730674#2,355012520,389146858,4,highway.residential,"11624.13,5103.65 11636.58,4994.90",124.11,13.89,-31730674#2_0,1,10,10,10
1569,-31730674#3,355012521,355012520,4,highway.residential,"11616.85,5173.73 11622.57,5117.96",70.30,13.89,-31730674#3_0,1,10,10,10
1570,-31730674#4,355012351,355012521,4,highway.residential,"11611.37,5224.94 11615.35,5188.06",51.55,13.89,-31730674#4_0,1,10,10,10
1571,-31730685#0,355012615,355012520,4,highway.residential,"11460.27,5079.19 11617.86,5108.29",175.12,13.89,-31730685#0_0,1,10,10,10
1572,-31730685#1,355012617,355012615,4,highway.residential,"11399.73,5068.71 11446.02,5076.65",61.22,13.89,-31730685#1_0,1,10,10,10
1573,-31730700,355012521,355012615,4,highway.residential,"11610.27,5181.79 11535.41,5172.11 11518.99,5162.57 11453.10,5156.49 11446.22,5153.20 11443.74,5146.18 11450.26,5086.64",247.77,13.89,-31730700_0,1,10,10,10
1574,-31730702#0,368356966,355012617,4,highway.residential,"11406.87,4999.10 11395.21,5062.23",78.44,13.89,-31730702#0_0,1,10,10,10
1575,-31730702#2,355012413,368356966,4,highway.residential,"11425.37,4876.51 11412.55,4956.46 11409.02,4985.14",122.61,13.89,-31730702#2_0,1,10,10,10
1576,-31730740#5,355013000,335762701,4,highway.residential,"11226.87,5374.99 11264.27,5380.07 11278.07,5381.95 11297.26,5384.56 11309.86,5386.27 11327.59,5386.58 11351.59,5385.22 11367.10,5381.88",157.66,8.33,-31730740#5_0,1,10,10,10
1577,-31730784,355013245,355013407,4,highway.residential,"11341.47,5537.10 11357.92,5597.83 11361.30,5601.73 11367.32,5602.18 11456.19,5580.97",176.86,13.89,-31730784_0,1,10,10,10
1578,-31730798#1,355013796,355013581,4,highway.residential,"11566.47,5729.83 11566.26,5725.39 11562.78,5664.42",79.87,13.89,-31730798#1_0,1,10,10,10
1579,-31730798#5,355013708,355013796,4,highway.residential,"11414.30,5952.90 11490.49,5921.40 11535.29,5896.08 11560.30,5881.94 11568.78,5873.68 11572.77,5863.53 11573.15,5854.09 11570.79,5822.04 11568.42,5772.86 11567.12,5744.22",321.36,13.89,-31730798#5_0,1,10,10,10
1580,-31730805#0,355013782,355013008,4,highway.residential,"11330.63,5767.86 11324.78,5744.86 11317.16,5712.63 11313.00,5688.13 11312.67,5685.12",99.55,13.89,-31730805#0_0,1,10,10,10
1581,-31730805#3,355013708,355013782,4,highway.residential,"11404.04,5951.13 11378.66,5890.67 11347.45,5816.29 11338.54,5794.90 11334.58,5782.00",196.82,13.89,-31730805#3_0,1,10,10,10
1582,-31730805#4,2259915741,355013708,4,highway.residential,"11414.36,5976.99 11409.40,5964.32",20.96,13.89,-31730805#4_0,1,10,10,10
1583,-31730807#2,355013796,355013782,4,highway.residential,"11561.21,5739.08 11492.14,5745.54 11402.12,5753.95 11387.84,5755.77 11361.52,5765.42 11341.79,5773.49",239.04,13.89,-31730807#2_0,1,10,10,10
1584,-31730812#2,355013867,355013839,4,highway.residential,"11777.25,4555.78 11707.05,4589.19 11703.98,4592.15 11702.15,4596.21 11696.47,4700.69 11692.94,4708.90 11686.96,4714.64 11664.06,4721.20",248.83,8.33,-31730812#2_0,1,10,10,10
1585,-31730812#4,355013872,355013867,4,highway.residential,"11889.48,4669.42 11883.44,4664.88 11879.30,4657.75 11851.93,4541.00 11849.51,4535.79 11844.68,4533.67 11827.85,4533.25 11819.07,4534.70 11790.76,4549.17",219.39,8.33,-31730812#4_0,1,10,10,10
1586,-31730813,387900296,355013867,4,highway.residential,"11792.22,4682.04 11783.92,4664.62 11783.17,4559.50",132.73,13.89,-31730813_0,1,10,10,10
1587,-31730890#1,387900290,355015963,4,highway.residential,"11581.61,4704.06 11580.27,4710.36 11578.45,4728.68 11578.16,4742.73 11577.56,4781.79 11580.75,4820.75",125.69,13.89,-31730890#1_0,1,10,10,10
1588,-31730899#0,355015963,355015972,3,highway.living_street,"11586.50,4828.46 11653.81,4839.14 11663.32,4839.12 11665.27,4838.77",93.70,2.78,-31730899#0_0,1,10,10,10
1589,-31730899#1,355015960,355015963,3,highway.living_street,"11530.29,4818.38 11572.07,4825.98",50.64,2.78,-31730899#1_0,1,10,10,10
1590,-318226723,229752649,3246226082,7,highway.secondary,"2973.96,4751.13 2925.34,4687.48 2885.32,4646.57 2823.82,4596.89 2700.35,4523.04",380.32,19.44,-318226723_0,1,1,1,1
1591,-318226727,776483623,324258453,7,highway.secondary,"3766.11,8960.56 3729.75,8997.13",55.71,13.89,-318226727_0,1,1,1,1
1592,-318226758,776483590,776483702,7,highway.secondary,"3973.75,8783.38 3922.79,8814.94",63.83,19.44,-318226758_0,1,1,1,1
1593,-31865368,356795125,356795134,4,highway.residential,"4180.49,10278.02 4159.28,10238.08",51.25,13.89,-31865368_0,1,0,0,0
1594,-31868664#1,356819851,1412974151,4,highway.residential,"4669.68,8502.71 4654.82,8519.67 4631.76,8539.34 4619.85,8552.81 4615.15,8558.12 4584.30,8584.15 4575.37,8589.18 4569.17,8593.38",149.95,13.89,-31868664#1_0,1,1,1,1
1595,-32063940#1,353952492,339136685,4,highway.residential,"4646.53,8858.01 4659.62,8865.26 4668.61,8869.59 4679.81,8872.36 4698.11,8874.46 4719.41,8874.27 4731.68,8874.16 4747.57,8873.33 4759.78,8873.48",130.13,13.89,-32063940#1_0,1,1,1,1
1596,-32063940#2,527073669,353952492,4,highway.residential,"4598.76,8821.92 4621.07,8840.61 4632.53,8848.24 4635.24,8850.46",59.81,13.89,-32063940#2_0,1,1,1,1
1597,-32063940#4,cluster_2775312551_287703566,527073669,4,highway.residential,"4481.94,8743.05 4498.71,8751.25 4526.31,8768.17 4545.15,8780.29 4567.05,8797.73 4587.68,8813.50",146.80,13.89,-32063940#4_0,1,1,1,1
1598,-32063940#7,287703535,cluster_2775312551_287703566,4,highway.residential,"4305.63,8721.37 4314.56,8719.53 4335.66,8717.63 4361.08,8716.98 4386.59,8717.38 4406.01,8720.72 4429.62,8725.10 4443.01,8729.01 4460.22,8732.79",174.17,13.89,-32063940#7_0,1,1,1,1
1599,-32108943#1,1412974151,356819851,4,highway.residential,"4567.92,8590.36 4573.69,8586.46 4582.46,8581.51 4612.91,8555.82 4617.45,8550.69 4629.52,8537.06 4652.56,8517.39 4667.27,8500.60",149.95,13.89,-32108943#1_0,1,1,1,1
1600,-32108943#11,833687231,1412974151,4,highway.residential,"4316.27,8575.83 4329.35,8557.29 4333.89,8551.60 4361.80,8534.94 4385.15,8532.06 4415.97,8543.16 4444.24,8554.06 4449.17,8556.46 4460.62,8560.97 4471.80,8564.68 4495.77,8572.58 4499.41,8574.45 4528.96,8586.72 4539.91,8591.06 4556.93,8593.54",280.72,13.89,-32108943#11_0,1,1,1,1
1601,-32108943#12,287703552,833687231,4,highway.residential,"4296.73,8606.86 4308.11,8588.19",35.97,13.89,-32108943#12_0,1,1,1,1
1602,-32108949#0,270306315,360354701,4,highway.residential,"3689.42,7119.88 3722.21,7106.62 3732.93,7104.92",62.47,8.33,-32108949#0_0,1,1,1,1
1603,-32108949#1,423885675,270306315,4,highway.residential,"3663.91,7132.75 3676.49,7126.01",29.17,8.33,-32108949#1_0,1,1,1,1
1604,-32108949#2,426888389,423885675,4,highway.residential,"3474.56,7266.58 3489.79,7254.21 3528.73,7223.10 3607.55,7165.57 3649.65,7140.49 3651.22,7139.63",231.93,8.33,-32108949#2_0,1,1,1,1
1605,-32108949#3,423885672,426888389,4,highway.residential,"3384.88,7348.48 3409.11,7325.18 3448.37,7287.87 3463.38,7275.67",121.50,8.33,-32108949#3_0,1,1,1,1
1606,-32130230#0,360354675,353952492,4,highway.residential,"4612.93,8892.68 4626.94,8876.33 4632.22,8867.28 4634.67,8861.91",53.26,13.89,-32130230#0_0,1,1,1,1
1607,-32130230#1,1741950500,360354675,4,highway.residential,"4552.59,8966.74 4588.11,8925.77 4603.76,8904.27",88.18,13.89,-32130230#1_0,1,1,1,1
1608,-32461802#0,364944130,cluster_369571414_369571451,4,highway.residential,"4358.09,9705.48 4257.63,9741.99 4230.97,9753.29",162.09,13.89,-32461802#0_0,1,0,0,0
1609,-32461802#1,364944135,364944130,4,highway.residential,"4450.06,9650.32 4448.90,9653.29 4442.43,9662.17 4433.06,9670.64 4422.31,9678.02 4371.77,9700.04",107.63,13.89,-32461802#1_0,1,0,0,0
1610,-32461803,cluster_369571419_369571422,364944130,4,highway.residential,"4267.08,9586.67 4311.26,9584.16 4317.12,9585.67 4321.32,9589.22 4324.05,9593.68 4333.60,9614.61 4336.34,9621.39 4337.58,9627.74 4338.82,9640.83 4340.19,9646.86 4343.33,9656.78 4362.62,9693.84",185.70,13.89,-32461803_0,1,0,0,0
1611,-32461804#0,369571394,369571426,4,highway.residential,"4140.86,9657.91 4063.95,9530.13",156.73,13.89,-32461804#0_0,1,0,0,0
1612,-32461804#1,cluster_369571414_369571451,369571394,4,highway.residential,"4204.78,9764.90 4148.28,9670.28",126.28,13.89,-32461804#1_0,1,0,0,0
1613,-32461805,364944145,364944142,4,highway.residential,"4440.52,9525.15 4492.51,9581.58 4498.24,9592.35 4500.60,9606.83 4499.26,9619.40 4500.02,9632.46 4507.86,9644.84 4523.42,9656.03",179.04,13.89,-32461805_0,1,0,0,0
1614,-32461806#0,364944147,364944145,3,highway.living_street,"4326.56,9392.44 4362.98,9426.81 4431.38,9514.45",175.00,2.78,-32461806#0_0,1,0,0,0
1615,-32461806#1,353952441,364944147,3,highway.living_street,"4243.05,9310.93 4316.22,9382.52",116.83,2.78,-32461806#1_0,1,0,0,0
1616,-32461807#0,364944151,364944149,3,highway.living_street,"4290.62,9411.83 4281.59,9403.17",19.92,2.78,-32461807#0_0,1,0,0,0
1617,-32461807#1,364944150,364944151,3,highway.living_street,"4320.01,9439.88 4301.04,9421.81",33.21,2.78,-32461807#1_0,1,0,0,0
1618,-32461808,364944151,364944147,3,highway.living_street,"4300.63,9409.12 4314.11,9393.15",35.69,2.78,-32461808_0,1,0,0,0
1619,-32461809#0,364944156,364944152,4,highway.residential,"4558.32,9518.19 4605.18,9555.77",74.67,13.89,-32461809#0_0,1,0,0,0
1620,-32461809#1,365248718,364944156,4,highway.residential,"4556.32,9491.98 4544.27,9506.93 4547.08,9509.19",36.39,13.89,-32461809#1_0,1,0,0,0
1621,-32461809#2,364944156,365248718,4,highway.residential,"4554.97,9508.31 4564.51,9496.49 4558.57,9491.73",36.41,13.89,-32461809#2_0,1,0,0,0
1622,-32461904,364944146,364944145,3,highway.living_street,"4384.40,9576.27 4428.03,9525.38",74.63,2.78,-32461904_0,1,0,0,0
1623,-32573393#0,cluster_366386930_560103414,282304010,4,highway.residential,"3548.83,10155.25 3558.45,10179.53 3562.49,10194.22 3563.27,10217.69",89.38,13.89,-32573393#0_0,1,0,0,0
1624,-32573393#1,366386934,cluster_366386930_560103414,4,highway.residential,"3585.70,10157.67 3575.37,10155.21 3569.41,10154.55 3560.93,10152.46 3553.12,10150.41",50.28,13.89,-32573393#1_0,1,0,0,0
1625,-32611964#0,256015621,256015620,4,highway.residential,"9415.08,1055.22 9414.13,1071.27",30.27,1.39,-32611964#0_0,1,3,3,3
1626,-32611964#2,256015624,256015621,4,highway.residential,"9309.52,948.28 9339.96,949.97 9397.80,953.83 9403.60,954.54 9409.85,957.46 9411.60,958.27 9415.57,962.84 9417.83,970.15 9416.38,1003.36 9416.28,1012.63 9415.88,1021.75 9415.60,1040.90",199.64,1.39,-32611964#2_0,1,3,3,3
