,id,x,y,type,region
922,280948386,9082.27,7568.68,priority,6
923,280948389,9165.63,7636.19,priority,6
924,280951907,9128.43,7291.57,priority,6
925,280951909,9180.21,7415.76,priority,6
926,280951926,9180.93,7514.91,priority,6
927,280951938,9100.28,7328.46,priority,6
928,280951945,8974.12,7352.71,priority,6
929,280951951,8917.82,7347.30,priority,6
930,280951954,9122.87,7328.88,priority,6
931,280951963,9044.37,7457.94,priority,6
932,280952009,9098.13,7381.36,priority,6
933,280956364,5716.31,9447.26,priority,8
934,280956373,5794.66,9031.76,priority,8
935,280956403,5682.73,8928.15,priority,8
936,281238199,9413.92,1390.65,priority,3
937,281238571,9387.14,1622.78,priority,3
938,281238994,9376.07,1636.74,priority,3
939,281248332,9202.53,1282.02,right_before_left,3
940,281248335,9195.45,1192.85,priority,3
941,281248493,9256.95,1308.31,right_before_left,3
942,281248837,9285.44,1281.96,right_before_left,3
943,2813315701,9509.86,5773.57,priority,9
944,281480487,6944.83,6520.36,priority,9
945,282155148,11604.01,10132.58,priority,7
946,282256797,3809.95,8117.39,priority,1
947,282304007,3796.71,10369.89,priority,0
948,282304010,3561.89,10224.46,priority,0
949,282304014,3340.29,10417.60,priority,0
950,282661415,4718.48,6484.82,priority,1
951,282661418,4201.42,6164.04,priority,1
952,282661422,3946.63,7588.70,priority,1
953,282661443,4310.36,6450.60,priority,1
954,283161372,4284.36,10329.49,priority,0
955,283161374,4238.38,10163.29,priority,0
956,283161390,4120.96,10258.22,priority,0
957,283400498,3738.40,9983.76,priority,0
958,283400504,3704.90,9906.69,priority,0
959,283400508,3669.54,9819.20,priority,0
960,283400515,3797.06,9738.82,priority,0
961,283400520,3877.29,9898.74,priority,0
962,283400524,3838.54,9824.60,priority,0
963,283400536,4039.26,9752.01,priority,0
964,283401970,3449.05,9251.68,priority,1
965,283401979,3682.99,9790.57,priority,0
966,283404619,4546.70,10312.65,priority,0
967,283404631,4519.42,10135.35,priority,0
968,284165244,9648.73,8514.02,priority,6
969,284165245,9658.13,8525.11,priority,6
970,286388046,8607.69,1419.45,priority,3
971,286388107,8643.82,1399.77,priority,3
972,286388116,8670.41,1390.54,priority,3
973,286574820,7919.16,5009.22,traffic_light,9
974,286575366,8733.14,4985.54,priority,9
975,286575380,9286.48,5410.21,priority,9
976,286575393,9693.98,5690.25,priority,9
977,286577390,8911.04,5063.18,priority,9
978,286577518,8654.87,4567.40,priority,9
979,286602819,8865.10,3713.85,priority,4
980,286602825,8965.35,3746.28,priority,4
981,286602834,9103.72,3772.73,priority,4
982,286602838,9161.05,3799.54,priority,4
983,286603783,8353.26,3145.42,right_before_left,4
984,286603784,8333.79,3165.58,priority,4
985,286603791,8500.09,2952.51,priority,4
986,286742283,2357.35,3159.89,priority,11
987,286742303,2853.95,2253.06,priority,11
988,286742735,2744.63,2595.40,priority,11
989,286742737,2764.99,2538.36,priority,11
990,286742742,2870.38,2306.67,priority,11
991,286742747,3029.90,1925.70,priority,11
992,287231882,7127.20,7095.68,priority,9
993,287232193,7705.50,7354.85,priority,9
994,287232198,7736.02,7304.68,right_before_left,9
995,287232215,7766.87,7243.95,priority,9
996,287232236,7827.97,7147.03,priority,9
997,287232240,7912.73,7211.70,right_before_left,9
998,287232246,7821.63,7107.07,priority,9
999,287232249,7873.98,7288.97,right_before_left,9
1000,287232250,7959.47,7109.35,right_before_left,9
1001,287232252,7789.89,6960.12,priority,9
1002,287232376,7375.96,7068.05,priority,9
1003,287232377,7430.56,7093.75,priority,9
1004,287232389,7484.40,7235.05,priority,9
1005,287232391,7416.21,7128.38,right_before_left,9
1006,287232392,7407.68,7166.02,right_before_left,9
1007,287232393,7497.10,7200.80,priority,9
1008,287232394,7443.82,7139.99,priority,9
1009,287232395,7404.78,7174.88,priority,9
1010,287232419,8481.48,7291.89,priority,9
1011,287232420,8514.73,7309.51,priority,9
1012,287232422,8544.73,7303.28,priority,6
1013,287232427,8447.65,7335.13,priority,9
1014,287232434,8204.18,7428.67,priority,9
1015,287232442,8235.29,7433.17,priority,9
1016,287232447,8164.20,7374.44,priority,9
1017,287232450,8051.08,7316.41,priority,9
1018,287232451,8185.94,7318.38,priority,9
1019,287232456,8092.52,7271.98,priority,9
